bridgeId,name,state,region,lga,latitude,longitude,structureType,material,yearBuilt,spanLengthM,totalLengthM,clearanceHeightM,numberOfSpans,numberOfLanes,condition,conditionRating,conditionRatingTfnsw,postingStatus,assetOwner,maintenanceAuthority,scourRisk,floodImpacted,floodImmunityAri,hmlApproved,bdoubleApproved,freightRoute,overMassRoute,nhvrRouteAssessed,pbsApprovalClass,networkClassification,importanceLevel,seismicZone,aadt,heavyVehiclePercentage,highPriorityAsset,remarks,isActive,dataSource,sourceReferenceUrl,openDataReference,geoJson
BRG-NSW-011,Pheasants Nest Bridge,NSW,South West NSW,Wollondilly,-34.236917,150.662306,Box Girder,Prestressed Concrete,1980,150,304,,2,4,GOOD,2,2,UNRESTRICTED,Transport for NSW,Transport for NSW,Low,false,100,true,false,true,false,true,Level 3,Notice,Essential,Zone 1,35000,14.0,false,"Prestressed concrete box girder bridge on Hume Motorway over Nepean River gorge. Heavy freight corridor.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Pheasants_Nest_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[150.662306,-34.236917]}"
BRG-NSW-012,Hawkesbury River Railway Bridge,NSW,Hunter,Hawkesbury,-33.533750,151.228583,Truss,Steel,1946,135,785,,5,2,GOOD,2,2,UNRESTRICTED,Sydney Trains,Sydney Trains,Medium,false,50,false,false,false,false,true,Not Assessed,Notice,Essential,Zone 1,120,0.0,false,"Steel through-truss railway bridge on Main North line. Rebuilt 1946. Carries intercity and freight trains.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Hawkesbury_River_railway_bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[151.228583,-33.533750]}"
BRG-NSW-013,Macleay Valley Way Bridge,NSW,Northern NSW,Kempsey,-31.036250,152.886778,Beam Bridge,Prestressed Concrete,2013,,3200,,20,4,GOOD,1,1,UNRESTRICTED,Transport for NSW,Transport for NSW,Low,true,50,true,true,true,false,true,Level 3,Notice,Essential,Zone 1,18000,22.0,false,"Major multi-span prestressed concrete bridge over Macleay River floodplain. Key freight route on Pacific Highway upgrade corridor.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Macleay_Valley_Way,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[152.886778,-31.036250]}"
BRG-NSW-014,Nowra Bridge,NSW,Illawarra,Shoalhaven,-34.882361,150.600556,Box Girder,Prestressed Concrete,1999,120,460,,4,4,GOOD,2,2,UNRESTRICTED,Transport for NSW,Transport for NSW,Medium,true,50,true,false,true,false,true,Level 3,Notice,Essential,Zone 1,28000,15.0,false,"Prestressed concrete bridge over Shoalhaven River on Princes Highway. Key south coast freight route.",true,Transport for NSW,https://www.transport.nsw.gov.au/operations/roads-and-waterways/projects/princes-highway-nowra-bridge,https://data.nsw.gov.au/data/dataset/2-nsw-state-roads-vertical-clearances,"{""type"":""Point"",""coordinates"":[150.600556,-34.882361]}"
BRG-NSW-015,Rip Bridge,NSW,Central Coast,Central Coast,-33.506833,151.346778,Arch Bridge,Concrete,1974,183,330,15.0,1,2,FAIR,2,2,UNRESTRICTED,Transport for NSW,Transport for NSW,Low,false,100,false,false,false,false,true,General Access,Notice,Important,Zone 1,8500,6.0,false,"Concrete arch bridge over Brisbane Water at Daleys Point. Single-lane with traffic signals.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Rip_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[151.346778,-33.506833]}"
BRG-NSW-016,Nepean River Railway Bridge,NSW,South West Sydney,Camden,-34.117999,150.743639,Beam Bridge,Wrought Iron,1863,,145,,5,1,FAIR,3,3,RESTRICTED,Sydney Trains,Sydney Trains,High,true,20,false,false,false,false,false,Not Assessed,Permit,Important,Zone 1,80,0.0,true,"Historic 1863 wrought iron railway bridge. Load-restricted heritage asset. Scour monitoring required. Periodic special inspections.",true,Wikipedia – Historic bridges of New South Wales,https://en.wikipedia.org/wiki/Historic_bridges_of_New_South_Wales,https://en.wikipedia.org/wiki/Historic_bridges_of_New_South_Wales,"{""type"":""Point"",""coordinates"":[150.743639,-34.117999]}"
BRG-NSW-017,Prince Alfred Bridge,NSW,South West NSW,Cootamundra-Gundagai,-35.074444,148.106944,Truss,Timber and Iron,1867,,922,,44,2,POOR,4,3,RESTRICTED,Transport for NSW,Transport for NSW,Medium,true,10,false,false,false,false,false,Not Assessed,Permit,Essential,Zone 1,3500,6.0,true,"Heritage timber truss bridge over Murrumbidgee River. Australia's longest timber bridge at 922m (44 spans). Load restricted. Regular condition inspections.",true,Wikipedia – Historic bridges of New South Wales,https://en.wikipedia.org/wiki/Prince_Alfred_Bridge,https://en.wikipedia.org/wiki/Historic_bridges_of_New_South_Wales,"{""type"":""Point"",""coordinates"":[148.106944,-35.074444]}"
BRG-NSW-018,Long Gully Bridge (Northbridge),NSW,Sydney Metro,Willoughby,-33.816944,151.212361,Arch Bridge,Concrete,1939,105,152,,1,2,GOOD,2,2,UNRESTRICTED,Transport for NSW,Transport for NSW,Low,false,100,false,false,false,false,false,Not Assessed,Notice,Important,Zone 1,22000,4.0,false,"Concrete arch bridge over Flat Rock Creek, Cammeray. Replaced 1892 suspension bridge. Heritage area setting.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Long_Gully_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[151.212361,-33.816944]}"
BRG-NSW-019,Spit Bridge,NSW,Sydney Metro,Northern Beaches,-33.797778,151.235000,Bascule Bridge,Steel,1958,62,160,4.6,1,2,FAIR,3,2,UNRESTRICTED,Transport for NSW,Transport for NSW,Low,false,100,false,false,false,false,false,Not Assessed,Notice,Important,Zone 1,45000,3.5,false,"Moveable double-leaf bascule bridge over Middle Harbour. Opens for marine traffic on schedule. Clearance 4.6m closed, higher when open.",true,Transport for NSW,https://www.transport.nsw.gov.au/operations/roads-and-waterways/roads/spit-bridge,https://data.nsw.gov.au/data/dataset/2-nsw-state-roads-vertical-clearances,"{""type"":""Point"",""coordinates"":[151.235000,-33.797778]}"
BRG-NSW-020,Karuah River Bridge,NSW,Hunter,Port Stephens,-32.658056,151.946944,Box Girder,Prestressed Concrete,2001,100,500,,5,4,GOOD,2,2,UNRESTRICTED,Transport for NSW,Transport for NSW,Low,false,100,true,true,true,false,true,Level 3,Notice,Essential,Zone 1,32000,18.0,false,"Prestressed concrete bridge over Karuah River on Pacific Highway. Key freight route to Newcastle and Queensland.",true,Transport for NSW,https://www.transport.nsw.gov.au/operations/roads-and-waterways/projects/pacific-highway,https://data.nsw.gov.au/data/dataset/2-nsw-state-roads-vertical-clearances,"{""type"":""Point"",""coordinates"":[151.946944,-32.658056]}"
BRG-NSW-021,Maitland Swing Bridge,NSW,Hunter,Maitland,-32.733056,151.554722,Bascule Bridge,Steel,1892,60,120,,2,1,POOR,4,3,RESTRICTED,Transport for NSW,Transport for NSW,High,true,10,false,false,false,false,false,Not Assessed,Permit,Important,Zone 1,5000,5.0,true,"Heritage swing bridge over Hunter River. Restricted to light vehicles only. Scour monitoring active. Replacement planning under consideration.",true,Wikipedia – Historic bridges of New South Wales,https://en.wikipedia.org/wiki/Historic_bridges_of_New_South_Wales,https://en.wikipedia.org/wiki/Historic_bridges_of_New_South_Wales,"{""type"":""Point"",""coordinates"":[151.554722,-32.733056]}"
BRG-NSW-022,Grafton to South Grafton Bridge,NSW,Northern NSW,Clarence Valley,-29.691667,152.935556,Truss,Steel,1972,90,300,15.0,3,4,FAIR,2,2,UNRESTRICTED,Transport for NSW,Transport for NSW,High,true,20,false,false,true,false,true,General Access,Notice,Important,Zone 1,18000,12.0,false,"Road truss bridge over Clarence River. Part of the Pacific Highway freight network.",true,Transport for NSW,https://www.transport.nsw.gov.au/operations/roads-and-waterways/roads/road-maintenance,https://data.nsw.gov.au/data/dataset/2-nsw-state-roads-vertical-clearances,"{""type"":""Point"",""coordinates"":[152.935556,-29.691667]}"
BRG-NSW-023,Wagga Wagga Murrumbidgee Bridge,NSW,Murrumbidgee,Wagga Wagga,-35.110000,147.357778,Box Girder,Prestressed Concrete,1995,120,450,,3,4,GOOD,2,2,UNRESTRICTED,Transport for NSW,Transport for NSW,Medium,true,50,true,true,true,false,true,Level 3,Notice,Essential,Zone 1,29000,16.0,false,"Prestressed concrete bridge on Sturt Highway over Murrumbidgee River. Major inland freight route to Victoria and SA.",true,Transport for NSW,https://www.transport.nsw.gov.au/operations/roads-and-waterways/roads/road-network,https://data.nsw.gov.au/data/dataset/2-nsw-state-roads-vertical-clearances,"{""type"":""Point"",""coordinates"":[147.357778,-35.110000]}"
BRG-NSW-024,Darling River Bridge Wilcannia,NSW,Western NSW,Central Darling,-31.560000,143.371667,Truss,Steel,1904,80,240,6.0,3,1,POOR,4,3,RESTRICTED,Transport for NSW,Transport for NSW,High,true,10,false,false,false,false,false,Not Assessed,Permit,Important,Zone 1,800,8.0,true,"Heritage steel truss bridge over Darling River. Load restricted – heavy vehicles prohibited. Flood-prone. Scour risk high.",true,Wikipedia – Historic bridges of New South Wales,https://en.wikipedia.org/wiki/Historic_bridges_of_New_South_Wales,https://en.wikipedia.org/wiki/Historic_bridges_of_New_South_Wales,"{""type"":""Point"",""coordinates"":[143.371667,-31.560000]}"
BRG-NSW-025,Peats Ferry Bridge,NSW,Central Coast,Hawkesbury,-33.373361,150.997278,Truss,Steel,1945,134,611,,4,2,FAIR,2,2,UNRESTRICTED,Transport for NSW,Transport for NSW,Medium,false,50,false,false,true,false,true,General Access,Notice,Important,Zone 1,11000,9.0,false,"Steel truss bridge on Old Pacific Highway over Hawkesbury River. Historic wartime-era structure.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Peats_Ferry_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[150.997278,-33.373361]}"
BRG-VIC-001,Princes Bridge,VIC,Greater Melbourne,Melbourne City,-37.819250,144.968278,Arch Bridge,Cast Iron,1888,120,120,,3,6,GOOD,2,2,UNRESTRICTED,VicRoads,Department of Transport and Planning,Low,false,100,false,false,true,false,true,General Access,Notice,Critical,Zone 1,85000,7.0,false,"Heritage-listed cast iron arch bridge over Yarra River at Swanston Street. Ornate Victorian-era structure. Melbourne CBD icon.",true,Victorian Government Data Directory – Road Bridges,https://discover.data.vic.gov.au/dataset/road-bridges,https://opendata.transport.vic.gov.au/dataset/05efb8bc-677e-46f1-b1b1-fa5caff65067/resource/8d8b54fe-2515-4b1f-8601-a134b7a88d3c/download/road_bridges.csv,"{""type"":""Point"",""coordinates"":[144.968278,-37.819250]}"
BRG-VIC-002,West Gate Bridge,VIC,Greater Melbourne,Hobsons Bay,-37.830000,144.899139,Cable-stayed,Steel Box Girder,1978,336,2582,56.0,11,6,GOOD,2,2,UNRESTRICTED,Department of Transport and Planning,VicRoads,Low,false,100,true,true,true,true,true,Level 4,Notice,Critical,Zone 1,200000,20.0,true,"Landmark cable-stayed box girder bridge over Yarra River. Carries 200,000 vehicles/day. Major freight corridor to Port of Melbourne.",true,Victorian Government Data Directory – Road Bridges,https://discover.data.vic.gov.au/dataset/road-bridges,https://opendata.transport.vic.gov.au/dataset/05efb8bc-677e-46f1-b1b1-fa5caff65067/resource/8d8b54fe-2515-4b1f-8601-a134b7a88d3c/download/road_bridges.csv,"{""type"":""LineString"",""coordinates"":[[144.893,-37.830],[144.906,-37.830]]}"
BRG-VIC-003,Bolte Bridge,VIC,Greater Melbourne,Melbourne City,-37.819472,144.932250,Box Girder,Prestressed Concrete and Steel,1999,173,490,12.5,2,8,GOOD,2,2,UNRESTRICTED,Department of Transport and Planning,Transurban,Low,false,100,true,true,true,true,true,Level 4,Notice,Critical,Zone 1,120000,21.1,true,"Twin cantilever bridge on CityLink over Yarra River. Privately operated toll motorway. Major freight and logistics corridor.",true,Victorian Government Data Directory – Road Bridges,https://discover.data.vic.gov.au/dataset/road-bridges,https://opendata.transport.vic.gov.au/dataset/05efb8bc-677e-46f1-b1b1-fa5caff65067/resource/8d8b54fe-2515-4b1f-8601-a134b7a88d3c/download/road_bridges.csv,"{""type"":""LineString"",""coordinates"":[[144.928,-37.819],[144.937,-37.819]]}"
BRG-VIC-004,McKillops Bridge,VIC,Hume,East Gippsland,-37.083806,148.413528,Truss,Concrete and Timber,1936,255,255,,1,1,POOR,4,3,RESTRICTED,Department of Transport and Planning,Department of Transport and Planning,Medium,true,20,false,false,false,false,false,Not Assessed,Permit,Important,Zone 2,500,5.0,true,"Remote heritage bridge over Snowy River at Deddick Valley. Load restricted for heavy vehicles. One lane. Seasonal scour risk.",true,Victorian Government Data Directory – Road Bridges,https://discover.data.vic.gov.au/dataset/road-bridges,https://opendata.transport.vic.gov.au/dataset/05efb8bc-677e-46f1-b1b1-fa5caff65067/resource/8d8b54fe-2515-4b1f-8601-a134b7a88d3c/download/road_bridges.csv,"{""type"":""Point"",""coordinates"":[148.413528,-37.083806]}"
BRG-VIC-005,Noojee Trestle Bridge,VIC,Gippsland,Baw Baw,-37.900528,145.984333,Trestle,Timber,1919,102,102,,1,1,FAIR,3,2,UNRESTRICTED,Parks Victoria,Parks Victoria,Low,false,50,false,false,false,false,false,Not Assessed,Notice,Important,Zone 1,2000,1.0,false,"Heritage timber railway trestle bridge. Now used as tourist walking track. Originally part of Noojee branch line.",true,Victorian Government Data Directory – Road Bridges,https://discover.data.vic.gov.au/dataset/road-bridges,https://opendata.transport.vic.gov.au/dataset/05efb8bc-677e-46f1-b1b1-fa5caff65067/resource/8d8b54fe-2515-4b1f-8601-a134b7a88d3c/download/road_bridges.csv,"{""type"":""Point"",""coordinates"":[145.984333,-37.900528]}"
BRG-VIC-006,Maribyrnong River Viaduct,VIC,Greater Melbourne,Maribyrnong,-37.747333,144.846111,Viaduct,Steel,1929,383,383,,5,2,FAIR,2,2,UNRESTRICTED,VicRoads,Department of Transport and Planning,Low,false,50,false,false,false,false,true,General Access,Notice,Important,Zone 1,18000,10.0,false,"Steel trestle viaduct over Maribyrnong River on Western Ring Road. Heritage industrial structure.",true,Victorian Government Data Directory – Road Bridges,https://discover.data.vic.gov.au/dataset/road-bridges,https://opendata.transport.vic.gov.au/dataset/05efb8bc-677e-46f1-b1b1-fa5caff65067/resource/8d8b54fe-2515-4b1f-8601-a134b7a88d3c/download/road_bridges.csv,"{""type"":""Point"",""coordinates"":[144.846111,-37.747333]}"
BRG-VIC-007,Keilor-Derrimut Road Rail Bridge (SN0325),VIC,Greater Melbourne,Brimbank,-37.727752,144.793263,Rail Overpass,Steel,,,,4.5,1,,GOOD,1,1,UNRESTRICTED,V/Line,V/Line,Low,false,100,false,false,false,false,true,Not Assessed,Notice,Ordinary,Zone 1,,,false,"Rail overpass structure over Keilor-Derrimut Rd. Source: VIC open data structure ID SN0325.",true,Victorian Government Open Data – Road Bridges Dataset,https://discover.data.vic.gov.au/dataset/road-bridges,https://opendata.transport.vic.gov.au/dataset/05efb8bc-677e-46f1-b1b1-fa5caff65067/resource/8d8b54fe-2515-4b1f-8601-a134b7a88d3c/download/road_bridges.csv,"{""type"":""Point"",""coordinates"":[144.793263,-37.727752]}"
BRG-VIC-008,Mullum Mullum Creek Bridge (EastLink SN1081),VIC,Greater Melbourne,Knox,-37.813371,145.215808,Box Girder,Concrete,,,,,4,4,GOOD,1,1,UNRESTRICTED,Transurban,Department of Transport and Planning,Low,false,100,true,true,true,false,true,Level 4,Notice,Essential,Zone 1,85000,15.0,false,"EastLink Tollway bridge over Mullum Mullum Creek. Source: VIC open data structure ID SN1081.",true,Victorian Government Open Data – Road Bridges Dataset,https://discover.data.vic.gov.au/dataset/road-bridges,https://opendata.transport.vic.gov.au/dataset/05efb8bc-677e-46f1-b1b1-fa5caff65067/resource/8d8b54fe-2515-4b1f-8601-a134b7a88d3c/download/road_bridges.csv,"{""type"":""Point"",""coordinates"":[145.215808,-37.813371]}"
BRG-VIC-009,Deep Creek South Bridge (SN0630),VIC,Greater Melbourne,Frankston,-38.145203,145.487378,Box Girder,Precast Concrete,,,,,1,1,GOOD,1,2,UNRESTRICTED,VicRoads,Department of Transport and Planning,Medium,true,20,false,false,false,false,false,Not Assessed,Notice,Ordinary,Zone 1,5000,5.0,false,"Road over Deep Creek South culvert structure on metropolitan road. Source: VIC open data structure ID SN0630.",true,Victorian Government Open Data – Road Bridges Dataset,https://discover.data.vic.gov.au/dataset/road-bridges,https://opendata.transport.vic.gov.au/dataset/05efb8bc-677e-46f1-b1b1-fa5caff65067/resource/8d8b54fe-2515-4b1f-8601-a134b7a88d3c/download/road_bridges.csv,"{""type"":""Point"",""coordinates"":[145.487378,-38.145203]}"
BRG-QLD-001,Story Bridge,QLD,South East Queensland,Brisbane City,-27.463611,153.035750,Cantilever,Steel,1940,282,777,18.0,3,6,FAIR,3,2,RESTRICTED,Brisbane City Council,Brisbane City Council,Medium,true,50,false,true,true,false,false,Level 2,Permit,Essential,Zone 2,100000,14.75,true,"Heritage-listed cantilever truss bridge over Brisbane River. Speed and load restrictions apply. Deck condition monitoring active.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Story_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""LineString"",""coordinates"":[[153.031,-27.463],[153.041,-27.463]]}"
BRG-QLD-002,Captain Cook Bridge,QLD,South East Queensland,Brisbane City,-27.480917,153.029361,Box Girder,Prestressed Concrete,1972,183,555,,3,4,GOOD,2,2,UNRESTRICTED,Brisbane City Council,Brisbane City Council,Medium,false,50,true,false,true,false,true,Level 3,Notice,Essential,Zone 2,75000,12.0,false,"Prestressed concrete box girder over Brisbane River. Carries Pacific Motorway traffic. Major freight corridor.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Captain_Cook_Bridge_(Brisbane),https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[153.029361,-27.480917]}"
BRG-QLD-003,William Jolly Bridge,QLD,South East Queensland,Brisbane City,-27.468528,153.015528,Arch Bridge,Concrete,1932,500,500,,1,4,FAIR,2,2,UNRESTRICTED,Brisbane City Council,Brisbane City Council,Low,false,100,false,false,false,false,true,General Access,Notice,Important,Zone 2,40000,5.0,false,"Concrete arch bridge over Brisbane River. Heritage-listed. Part of the Brisbane central road network.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/William_Jolly_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[153.015528,-27.468528]}"
BRG-QLD-004,Kurilpa Bridge,QLD,South East Queensland,Brisbane City,-27.469361,153.018194,Cable-stayed,Steel,2009,135,425,,3,,GOOD,1,1,UNRESTRICTED,Brisbane City Council,Brisbane City Council,Low,false,100,false,false,false,false,false,Not Assessed,Notice,Important,Zone 2,15000,0.5,false,"World's largest tensegrity pedestrian bridge over Brisbane River. Cable-stayed tensegrity structure. Pedestrians and cyclists only.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Kurilpa_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[153.018194,-27.469361]}"
BRG-QLD-005,Sir Leo Hielscher Bridges,QLD,South East Queensland,Brisbane City,-27.445278,153.101222,Box Girder,Prestressed Concrete,2010,260,1630,,6,8,GOOD,1,1,UNRESTRICTED,Department of Transport and Main Roads,Department of Transport and Main Roads,Low,false,100,true,true,true,true,true,Level 4,Notice,Critical,Zone 2,120000,22.0,true,"Twin box girder bridges over Brisbane River at Gateway Motorway. Key port freight route to Port of Brisbane.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Sir_Leo_Hielscher_Bridges,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""LineString"",""coordinates"":[[153.095,-27.445],[153.107,-27.445]]}"
BRG-QLD-006,Houghton Highway Bridge,QLD,South East Queensland,Moreton Bay,-27.274806,153.070583,Beam Bridge,Prestressed Concrete,1979,,2740,,40,4,GOOD,2,2,UNRESTRICTED,Department of Transport and Main Roads,Department of Transport and Main Roads,Low,false,100,true,true,true,false,true,Level 3,Notice,Essential,Zone 2,55000,14.0,false,"Long prestressed concrete beam bridge over Bramble Bay connecting Redcliffe Peninsula. Key freight access route.",true,Wikipedia – List of bridges in Australia,https://en.wikipedia.org/wiki/Houghton_Highway,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,"{""type"":""Point"",""coordinates"":[153.070583,-27.274806]}"
