ID,bridgeId,bridgeName,assetClass,route,routeNumber,state,region,lga,latitude,longitude,location,assetOwner,managingAuthority,structureType,yearBuilt,designLoad,designStandard,clearanceHeight,spanLength,material,spanCount,totalLength,deckWidth,numberOfLanes,condition,conditionRating,structuralAdequacyRating,postingStatus,conditionStandard,seismicZone,asBuiltDrawingReference,scourDepthLastMeasured,floodImmunityAriYears,floodImpacted,highPriorityAsset,remarks,status,scourRisk,lastInspectionDate,nhvrAssessed,nhvrAssessmentDate,loadRating,pbsApprovalClass,importanceLevel,averageDailyTraffic,heavyVehiclePercent,gazetteReference,nhvrReferenceUrl,freightRoute,overMassRoute,hmlApproved,bDoubleApproved,dataSource,sourceReferenceUrl,openDataReference,sourceRecordId,geoJson
11,BRG-NSW-011,Pheasants Nest Bridge,Road Bridge,,,NSW,South West NSW,Wollondilly,-34.236917,150.662306,,Transport for NSW,Transport for NSW,Box Girder,1980,,,,150,Prestressed Concrete,2,304,,4,2,2,,Unrestricted,,Zone 1,,,100,false,false,Prestressed concrete box girder bridge on Hume Motorway over Nepean River gorge. Heavy freight corridor.,Active,Low,,true,,,Level 3,,35000,14,,,true,false,true,false,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Pheasants_Nest_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-NSW-011,"{type:Point,coordinates:[150.662306,-34.236917]}"
12,BRG-NSW-012,Hawkesbury River Railway Bridge,Road Bridge,,,NSW,Hunter,Hawkesbury,-33.53375,151.228583,,Sydney Trains,Sydney Trains,Truss,1946,,,,135,Steel,5,785,,2,2,2,,Unrestricted,,Zone 1,,,50,false,false,Steel through-truss railway bridge on Main North line. Rebuilt 1946. Carries intercity and freight trains.,Active,Medium,,true,,,Not Assessed,,120,0,,,false,false,false,false,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Hawkesbury_River_railway_bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-NSW-012,"{type:Point,coordinates:[151.228583,-33.533750]}"
13,BRG-NSW-013,Macleay Valley Way Bridge,Road Bridge,,,NSW,Northern NSW,Kempsey,-31.03625,152.886778,,Transport for NSW,Transport for NSW,Beam Bridge,2013,,,,,Prestressed Concrete,20,3200,,4,1,1,,Unrestricted,,Zone 1,,,50,true,false,Major multi-span prestressed concrete bridge over Macleay River floodplain. Key freight route on Pacific Highway upgrade corridor.,Active,Low,,true,,,Level 3,,18000,22,,,true,false,true,true,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Macleay_Valley_Way,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-NSW-013,"{type:Point,coordinates:[152.886778,-31.036250]}"
14,BRG-NSW-014,Nowra Bridge,Road Bridge,,,NSW,Illawarra,Shoalhaven,-34.882361,150.600556,,Transport for NSW,Transport for NSW,Box Girder,1999,,,,120,Prestressed Concrete,4,460,,4,2,2,,Unrestricted,,Zone 1,,,50,true,false,Prestressed concrete bridge over Shoalhaven River on Princes Highway. Key south coast freight route.,Active,Medium,,true,,,Level 3,,28000,15,,,true,false,true,false,Transport for NSW,https://www.transport.nsw.gov.au/operations/roads-and-waterways/projects/princes-highway-nowra-bridge,https://data.nsw.gov.au/data/dataset/2-nsw-state-roads-vertical-clearances,BRG-NSW-014,"{type:Point,coordinates:[150.600556,-34.882361]}"
15,BRG-NSW-015,Rip Bridge,Road Bridge,,,NSW,Central Coast,Central Coast,-33.506833,151.346778,,Transport for NSW,Transport for NSW,Arch Bridge,1974,,,15,183,Concrete,1,330,,2,2,2,,Unrestricted,,Zone 1,,,100,false,false,Concrete arch bridge over Brisbane Water at Daleys Point. Single-lane with traffic signals.,Active,Low,,true,,,General Access,,8500,6,,,false,false,false,false,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Rip_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-NSW-015,"{type:Point,coordinates:[151.346778,-33.506833]}"
16,BRG-NSW-016,Nepean River Railway Bridge,Road Bridge,,,NSW,South West Sydney,Camden,-34.117999,150.743639,,Sydney Trains,Sydney Trains,Beam Bridge,1863,,,,,Wrought Iron,5,145,,1,3,3,,Restricted,,Zone 1,,,20,true,true,Historic 1863 wrought iron railway bridge. Load-restricted heritage asset. Scour monitoring required. Periodic special inspections.,Active,High,,false,,,Not Assessed,,80,0,,,false,false,false,false,Wikipedia â Historic bridges of New South Wales,https://en.wikipedia.org/wiki/Historic_bridges_of_New_South_Wales,https://en.wikipedia.org/wiki/Historic_bridges_of_New_South_Wales,BRG-NSW-016,"{type:Point,coordinates:[150.743639,-34.117999]}"
17,BRG-NSW-017,Prince Alfred Bridge,Road Bridge,,,NSW,South West NSW,Cootamundra-Gundagai,-35.074444,148.106944,,Transport for NSW,Transport for NSW,Truss,1867,,,,,Timber and Iron,44,922,,2,3,3,,Restricted,,Zone 1,,,10,true,true,Heritage timber truss bridge over Murrumbidgee River. Australia's longest timber bridge at 922m (44 spans). Load restricted. Regular condition inspections.,Active,Medium,,false,,,Not Assessed,,3500,6,,,false,false,false,false,Wikipedia â Historic bridges of New South Wales,https://en.wikipedia.org/wiki/Prince_Alfred_Bridge,https://en.wikipedia.org/wiki/Historic_bridges_of_New_South_Wales,BRG-NSW-017,"{type:Point,coordinates:[148.106944,-35.074444]}"
18,BRG-NSW-018,Long Gully Bridge (Northbridge),Road Bridge,,,NSW,Sydney Metro,Willoughby,-33.816944,151.212361,,Transport for NSW,Transport for NSW,Arch Bridge,1939,,,,105,Concrete,1,152,,2,2,2,,Unrestricted,,Zone 1,,,100,false,false,"Concrete arch bridge over Flat Rock Creek, Cammeray. Replaced 1892 suspension bridge. Heritage area setting.",Active,Low,,false,,,Not Assessed,,22000,4,,,false,false,false,false,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Long_Gully_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-NSW-018,"{type:Point,coordinates:[151.212361,-33.816944]}"
19,BRG-NSW-019,Spit Bridge,Road Bridge,,,NSW,Sydney Metro,Northern Beaches,-33.797778,151.235,,Transport for NSW,Transport for NSW,Bascule Bridge,1958,,,4.6,62,Steel,1,160,,2,2,2,,Unrestricted,,Zone 1,,,100,false,false,"Moveable double-leaf bascule bridge over Middle Harbour. Opens for marine traffic on schedule. Clearance 4.6m closed, higher when open.",Active,Low,,false,,,Not Assessed,,45000,3.5,,,false,false,false,false,Transport for NSW,https://www.transport.nsw.gov.au/operations/roads-and-waterways/roads/spit-bridge,https://data.nsw.gov.au/data/dataset/2-nsw-state-roads-vertical-clearances,BRG-NSW-019,"{type:Point,coordinates:[151.235000,-33.797778]}"
20,BRG-NSW-020,Karuah River Bridge,Road Bridge,,,NSW,Hunter,Port Stephens,-32.658056,151.946944,,Transport for NSW,Transport for NSW,Box Girder,2001,,,,100,Prestressed Concrete,5,500,,4,2,2,,Unrestricted,,Zone 1,,,100,false,false,Prestressed concrete bridge over Karuah River on Pacific Highway. Key freight route to Newcastle and Queensland.,Active,Low,,true,,,Level 3,,32000,18,,,true,false,true,true,Transport for NSW,https://www.transport.nsw.gov.au/operations/roads-and-waterways/projects/pacific-highway,https://data.nsw.gov.au/data/dataset/2-nsw-state-roads-vertical-clearances,BRG-NSW-020,"{type:Point,coordinates:[151.946944,-32.658056]}"
21,BRG-NSW-021,Maitland Swing Bridge,Road Bridge,,,NSW,Hunter,Maitland,-32.733056,151.554722,,Transport for NSW,Transport for NSW,Bascule Bridge,1892,,,,60,Steel,2,120,,1,3,3,,Restricted,,Zone 1,,,10,true,true,Heritage swing bridge over Hunter River. Restricted to light vehicles only. Scour monitoring active. Replacement planning under consideration.,Active,High,,false,,,Not Assessed,,5000,5,,,false,false,false,false,Wikipedia â Historic bridges of New South Wales,https://en.wikipedia.org/wiki/Historic_bridges_of_New_South_Wales,https://en.wikipedia.org/wiki/Historic_bridges_of_New_South_Wales,BRG-NSW-021,"{type:Point,coordinates:[151.554722,-32.733056]}"
22,BRG-NSW-022,Grafton to South Grafton Bridge,Road Bridge,,,NSW,Northern NSW,Clarence Valley,-29.691667,152.935556,,Transport for NSW,Transport for NSW,Truss,1972,,,15,90,Steel,3,300,,4,2,2,,Unrestricted,,Zone 1,,,20,true,false,Road truss bridge over Clarence River. Part of the Pacific Highway freight network.,Active,High,,true,,,General Access,,18000,12,,,true,false,false,false,Transport for NSW,https://www.transport.nsw.gov.au/operations/roads-and-waterways/roads/road-maintenance,https://data.nsw.gov.au/data/dataset/2-nsw-state-roads-vertical-clearances,BRG-NSW-022,"{type:Point,coordinates:[152.935556,-29.691667]}"
23,BRG-NSW-023,Wagga Wagga Murrumbidgee Bridge,Road Bridge,,,NSW,Murrumbidgee,Wagga Wagga,-35.11,147.357778,,Transport for NSW,Transport for NSW,Box Girder,1995,,,,120,Prestressed Concrete,3,450,,4,2,2,,Unrestricted,,Zone 1,,,50,true,false,Prestressed concrete bridge on Sturt Highway over Murrumbidgee River. Major inland freight route to Victoria and SA.,Active,Medium,,true,,,Level 3,,29000,16,,,true,false,true,true,Transport for NSW,https://www.transport.nsw.gov.au/operations/roads-and-waterways/roads/road-network,https://data.nsw.gov.au/data/dataset/2-nsw-state-roads-vertical-clearances,BRG-NSW-023,"{type:Point,coordinates:[147.357778,-35.110000]}"
24,BRG-NSW-024,Darling River Bridge Wilcannia,Road Bridge,,,NSW,Western NSW,Central Darling,-31.56,143.371667,,Transport for NSW,Transport for NSW,Truss,1904,,,6,80,Steel,3,240,,1,3,3,,Restricted,,Zone 1,,,10,true,true,Heritage steel truss bridge over Darling River. Load restricted â heavy vehicles prohibited. Flood-prone. Scour risk high.,Active,High,,false,,,Not Assessed,,800,8,,,false,false,false,false,Wikipedia â Historic bridges of New South Wales,https://en.wikipedia.org/wiki/Historic_bridges_of_New_South_Wales,https://en.wikipedia.org/wiki/Historic_bridges_of_New_South_Wales,BRG-NSW-024,"{type:Point,coordinates:[143.371667,-31.560000]}"
25,BRG-NSW-025,Peats Ferry Bridge,Road Bridge,,,NSW,Central Coast,Hawkesbury,-33.373361,150.997278,,Transport for NSW,Transport for NSW,Truss,1945,,,,134,Steel,4,611,,2,2,2,,Unrestricted,,Zone 1,,,50,false,false,Steel truss bridge on Old Pacific Highway over Hawkesbury River. Historic wartime-era structure.,Active,Medium,,true,,,General Access,,11000,9,,,true,false,false,false,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Peats_Ferry_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-NSW-025,"{type:Point,coordinates:[150.997278,-33.373361]}"
26,BRG-VIC-001,Princes Bridge,Road Bridge,,,VIC,Greater Melbourne,Melbourne City,-37.81925,144.968278,,VicRoads,Department of Transport and Planning,Arch Bridge,1888,,,,120,Cast Iron,3,120,,6,2,2,,Unrestricted,,Zone 1,,,100,false,false,Heritage-listed cast iron arch bridge over Yarra River at Swanston Street. Ornate Victorian-era structure. Melbourne CBD icon.,Active,Low,,true,,,General Access,,85000,7,,,true,false,false,false,Victorian Government Data Directory â Road Bridges,https://discover.data.vic.gov.au/dataset/road-bridges,https://opendata.transport.vic.gov.au/dataset/05efb8bc-677e-46f1-b1b1-fa5caff65067/resource/8d8b54fe-2515-4b1f-8601-a134b7a88d3c/download/road_bridges.csv,BRG-VIC-001,"{type:Point,coordinates:[144.968278,-37.819250]}"
27,BRG-VIC-002,West Gate Bridge,Road Bridge,,,VIC,Greater Melbourne,Hobsons Bay,-37.83,144.899139,,Department of Transport and Planning,VicRoads,Cable-stayed,1978,,,56,336,Steel Box Girder,11,2582,,6,2,2,,Unrestricted,,Zone 1,,,100,false,true,"Landmark cable-stayed box girder bridge over Yarra River. Carries 200,000 vehicles/day. Major freight corridor to Port of Melbourne.",Active,Low,,true,,,Level 4,,200000,20,,,true,true,true,true,Victorian Government Data Directory â Road Bridges,https://discover.data.vic.gov.au/dataset/road-bridges,https://opendata.transport.vic.gov.au/dataset/05efb8bc-677e-46f1-b1b1-fa5caff65067/resource/8d8b54fe-2515-4b1f-8601-a134b7a88d3c/download/road_bridges.csv,BRG-VIC-002,"{type:LineString,coordinates:[[144.893,-37.830],[144.906,-37.830]]}"
28,BRG-VIC-003,Bolte Bridge,Road Bridge,,,VIC,Greater Melbourne,Melbourne City,-37.819472,144.93225,,Department of Transport and Planning,Transurban,Box Girder,1999,,,12.5,173,Prestressed Concrete and Steel,2,490,,8,2,2,,Unrestricted,,Zone 1,,,100,false,true,Twin cantilever bridge on CityLink over Yarra River. Privately operated toll motorway. Major freight and logistics corridor.,Active,Low,,true,,,Level 4,,120000,21.1,,,true,true,true,true,Victorian Government Data Directory â Road Bridges,https://discover.data.vic.gov.au/dataset/road-bridges,https://opendata.transport.vic.gov.au/dataset/05efb8bc-677e-46f1-b1b1-fa5caff65067/resource/8d8b54fe-2515-4b1f-8601-a134b7a88d3c/download/road_bridges.csv,BRG-VIC-003,"{type:LineString,coordinates:[[144.928,-37.819],[144.937,-37.819]]}"
29,BRG-VIC-004,McKillops Bridge,Road Bridge,,,VIC,Hume,East Gippsland,-37.083806,148.413528,,Department of Transport and Planning,Department of Transport and Planning,Truss,1936,,,,255,Concrete and Timber,1,255,,1,3,3,,Restricted,,Zone 2,,,20,true,true,Remote heritage bridge over Snowy River at Deddick Valley. Load restricted for heavy vehicles. One lane. Seasonal scour risk.,Active,Medium,,false,,,Not Assessed,,500,5,,,false,false,false,false,Victorian Government Data Directory â Road Bridges,https://discover.data.vic.gov.au/dataset/road-bridges,https://opendata.transport.vic.gov.au/dataset/05efb8bc-677e-46f1-b1b1-fa5caff65067/resource/8d8b54fe-2515-4b1f-8601-a134b7a88d3c/download/road_bridges.csv,BRG-VIC-004,"{type:Point,coordinates:[148.413528,-37.083806]}"
30,BRG-VIC-005,Noojee Trestle Bridge,Road Bridge,,,VIC,Gippsland,Baw Baw,-37.900528,145.984333,,Parks Victoria,Parks Victoria,Trestle,1919,,,,102,Timber,1,102,,1,2,2,,Unrestricted,,Zone 1,,,50,false,false,Heritage timber railway trestle bridge. Now used as tourist walking track. Originally part of Noojee branch line.,Active,Low,,false,,,Not Assessed,,2000,1,,,false,false,false,false,Victorian Government Data Directory â Road Bridges,https://discover.data.vic.gov.au/dataset/road-bridges,https://opendata.transport.vic.gov.au/dataset/05efb8bc-677e-46f1-b1b1-fa5caff65067/resource/8d8b54fe-2515-4b1f-8601-a134b7a88d3c/download/road_bridges.csv,BRG-VIC-005,"{type:Point,coordinates:[145.984333,-37.900528]}"
31,BRG-VIC-006,Maribyrnong River Viaduct,Road Bridge,,,VIC,Greater Melbourne,Maribyrnong,-37.747333,144.846111,,VicRoads,Department of Transport and Planning,Viaduct,1929,,,,383,Steel,5,383,,2,2,2,,Unrestricted,,Zone 1,,,50,false,false,Steel trestle viaduct over Maribyrnong River on Western Ring Road. Heritage industrial structure.,Active,Low,,true,,,General Access,,18000,10,,,false,false,false,false,Victorian Government Data Directory â Road Bridges,https://discover.data.vic.gov.au/dataset/road-bridges,https://opendata.transport.vic.gov.au/dataset/05efb8bc-677e-46f1-b1b1-fa5caff65067/resource/8d8b54fe-2515-4b1f-8601-a134b7a88d3c/download/road_bridges.csv,BRG-VIC-006,"{type:Point,coordinates:[144.846111,-37.747333]}"
32,BRG-VIC-007,Keilor-Derrimut Road Rail Bridge (SN0325),Road Bridge,,,VIC,Greater Melbourne,Brimbank,-37.727752,144.793263,,V/Line,V/Line,Rail Overpass,,,,4.5,,Steel,1,,,,1,1,,Unrestricted,,Zone 1,,,100,false,false,Rail overpass structure over Keilor-Derrimut Rd. Source: VIC open data structure ID SN0325.,Active,Low,,true,,,Not Assessed,,,,,,false,false,false,false,Victorian Government Open Data â Road Bridges Dataset,https://discover.data.vic.gov.au/dataset/road-bridges,https://opendata.transport.vic.gov.au/dataset/05efb8bc-677e-46f1-b1b1-fa5caff65067/resource/8d8b54fe-2515-4b1f-8601-a134b7a88d3c/download/road_bridges.csv,BRG-VIC-007,"{type:Point,coordinates:[144.793263,-37.727752]}"
33,BRG-VIC-008,Mullum Mullum Creek Bridge (EastLink SN1081),Road Bridge,,,VIC,Greater Melbourne,Knox,-37.813371,145.215808,,Transurban,Department of Transport and Planning,Box Girder,,,,,,Concrete,4,,,4,1,1,,Unrestricted,,Zone 1,,,100,false,false,EastLink Tollway bridge over Mullum Mullum Creek. Source: VIC open data structure ID SN1081.,Active,Low,,true,,,Level 4,,85000,15,,,true,false,true,true,Victorian Government Open Data â Road Bridges Dataset,https://discover.data.vic.gov.au/dataset/road-bridges,https://opendata.transport.vic.gov.au/dataset/05efb8bc-677e-46f1-b1b1-fa5caff65067/resource/8d8b54fe-2515-4b1f-8601-a134b7a88d3c/download/road_bridges.csv,BRG-VIC-008,"{type:Point,coordinates:[145.215808,-37.813371]}"
34,BRG-VIC-009,Deep Creek South Bridge (SN0630),Road Bridge,,,VIC,Greater Melbourne,Frankston,-38.145203,145.487378,,VicRoads,Department of Transport and Planning,Box Girder,,,,,,Precast Concrete,1,,,1,2,2,,Unrestricted,,Zone 1,,,20,true,false,Road over Deep Creek South culvert structure on metropolitan road. Source: VIC open data structure ID SN0630.,Active,Medium,,false,,,Not Assessed,,5000,5,,,false,false,false,false,Victorian Government Open Data â Road Bridges Dataset,https://discover.data.vic.gov.au/dataset/road-bridges,https://opendata.transport.vic.gov.au/dataset/05efb8bc-677e-46f1-b1b1-fa5caff65067/resource/8d8b54fe-2515-4b1f-8601-a134b7a88d3c/download/road_bridges.csv,BRG-VIC-009,"{type:Point,coordinates:[145.487378,-38.145203]}"
35,BRG-QLD-001,Story Bridge,Road Bridge,,,QLD,South East Queensland,Brisbane City,-27.463611,153.03575,,Brisbane City Council,Brisbane City Council,Cantilever,1940,,,18,282,Steel,3,777,,6,2,2,,Restricted,,Zone 2,,,50,true,true,Heritage-listed cantilever truss bridge over Brisbane River. Speed and load restrictions apply. Deck condition monitoring active.,Active,Medium,,false,,,Level 2,,100000,14.75,,,true,false,false,true,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Story_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-QLD-001,"{type:LineString,coordinates:[[153.031,-27.463],[153.041,-27.463]]}"
36,BRG-QLD-002,Captain Cook Bridge,Road Bridge,,,QLD,South East Queensland,Brisbane City,-27.480917,153.029361,,Brisbane City Council,Brisbane City Council,Box Girder,1972,,,,183,Prestressed Concrete,3,555,,4,2,2,,Unrestricted,,Zone 2,,,50,false,false,Prestressed concrete box girder over Brisbane River. Carries Pacific Motorway traffic. Major freight corridor.,Active,Medium,,true,,,Level 3,,75000,12,,,true,false,true,false,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Captain_Cook_Bridge_(Brisbane),https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-QLD-002,"{type:Point,coordinates:[153.029361,-27.480917]}"
37,BRG-QLD-003,William Jolly Bridge,Road Bridge,,,QLD,South East Queensland,Brisbane City,-27.468528,153.015528,,Brisbane City Council,Brisbane City Council,Arch Bridge,1932,,,,500,Concrete,1,500,,4,2,2,,Unrestricted,,Zone 2,,,100,false,false,Concrete arch bridge over Brisbane River. Heritage-listed. Part of the Brisbane central road network.,Active,Low,,true,,,General Access,,40000,5,,,false,false,false,false,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/William_Jolly_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-QLD-003,"{type:Point,coordinates:[153.015528,-27.468528]}"
38,BRG-QLD-004,Kurilpa Bridge,Road Bridge,,,QLD,South East Queensland,Brisbane City,-27.469361,153.018194,,Brisbane City Council,Brisbane City Council,Cable-stayed,2009,,,,135,Steel,3,425,,,1,1,,Unrestricted,,Zone 2,,,100,false,false,World's largest tensegrity pedestrian bridge over Brisbane River. Cable-stayed tensegrity structure. Pedestrians and cyclists only.,Active,Low,,false,,,Not Assessed,,15000,0.5,,,false,false,false,false,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Kurilpa_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-QLD-004,"{type:Point,coordinates:[153.018194,-27.469361]}"
