restrictionRef,bridgeRef,restrictionType,value,unit,restrictionCategory,restrictionStatus,vehicleClassApplicable,grossMassLimit,axleMassLimit,dimensionLimitHeight,dimensionLimitWidth,dimensionLimitLength,speedLimitKmh,permitRequired,escortRequired,isTemporary,validFromDate,validToDate,directionApplied,issuingAuthority,legalReference,remarks,dataSource,sourceReferenceUrl
RST-NSW-003-001,BRG-NSW-003,Mass Limit,10,t,Permanent,Active,All Vehicles,10.0,,,,,false,true,false,false,2010-01-01,,Both,Transport for NSW,NSW Load Limit Order 2010,"Hampden Bridge weight limit – 10t GVM. Timber suspension bridge heritage protection. Permit required for oversize vehicles.",Wikipedia – Hampden Bridge Kangaroo Valley,https://en.wikipedia.org/wiki/Hampden_Bridge_(Kangaroo_Valley)
RST-NSW-003-002,BRG-NSW-003,Dimension Limit,3.6,m,Permanent,Active,All Vehicles,,,3.6,3.0,,false,true,false,false,2010-01-01,,Both,Transport for NSW,NSW Load Limit Order 2010,"Hampden Bridge height and width restriction. Heritage timber structure.",Wikipedia – Hampden Bridge Kangaroo Valley,https://en.wikipedia.org/wiki/Hampden_Bridge_(Kangaroo_Valley)
RST-NSW-009-001,BRG-NSW-009,Mass Limit,42.5,t,Permanent,Active,Heavy Vehicles,42.5,,,,,,true,false,false,2015-06-01,,Both,Transport for NSW,NSW Gazette 2015/042,"Grafton Bridge gross mass limit for heavy vehicles. Bascule truss heritage structure over Clarence River.",NSW Open Data – TfNSW,https://opendata.transport.nsw.gov.au/dataset/nsw-state-roads-vertical-clearances
RST-NSW-009-002,BRG-NSW-009,Speed Restriction,40,km/h,Permanent,Active,All Vehicles,,,,,,40,false,false,false,2015-06-01,,Both,Transport for NSW,NSW Traffic Control Order 2015/12,"Speed reduced to 40 km/h on Grafton Bridge deck due to heritage bascule structure condition.",NSW Open Data – TfNSW,https://opendata.transport.nsw.gov.au/dataset/nsw-state-roads-vertical-clearances
RST-QLD-008-001,BRG-QLD-008,Mass Limit,5,t,Permanent,Active,All Vehicles,5.0,,,,,,false,true,false,false,2000-06-01,,Both,Department of Transport and Main Roads,QLD Road Use Management Order 2000,"Dickabram Bridge – 1886 heritage timber/steel truss. 5t GVM maximum. Single lane only. B-doubles and heavy vehicles prohibited.",Wikipedia – Dickabram Bridge,https://en.wikipedia.org/wiki/Dickabram_Bridge
RST-QLD-010-001,BRG-QLD-010,Mass Limit,12,t,Permanent,Active,Heavy Vehicles,12.0,,,,,,false,true,false,false,2005-01-01,,Both,Queensland Rail,Queensland Rail Engineering Order 2005/03,"Albert Bridge Indooroopilly – heritage steel truss rail bridge. 12t axle load. Light rail traffic only.",Wikipedia – Albert Bridge Brisbane,https://en.wikipedia.org/wiki/Albert_Bridge_(Brisbane)
RST-TAS-001-001,BRG-TAS-001,Mass Limit,8,t,Permanent,Active,All Vehicles,8.0,,,,,,false,true,false,false,1975-01-01,,Both,Department of State Growth,TAS Road Management Act Order 1975,"Richmond Bridge – Australia's oldest bridge (1825). Heritage weight limit 8t GVM. Permit for special heavy task.",Wikipedia – Richmond Bridge Tasmania,https://en.wikipedia.org/wiki/Richmond_Bridge_(Tasmania)
RST-TAS-001-002,BRG-TAS-001,Speed Restriction,30,km/h,Permanent,Active,All Vehicles,,,,,,30,false,false,false,1975-01-01,,Both,Department of State Growth,TAS Traffic Act Order 1975,"30 km/h on Richmond Bridge for heritage protection.",Wikipedia – Richmond Bridge Tasmania,https://en.wikipedia.org/wiki/Richmond_Bridge_(Tasmania)
RST-TAS-002-001,BRG-TAS-002,Mass Limit,10,t,Permanent,Active,All Vehicles,10.0,,,,,,false,true,false,false,1980-01-01,,Both,Department of State Growth,TAS Road Management Act Order 1980,"Ross Bridge – convict-built 1836 heritage masonry arch. Weight restricted to protect historic stonework.",Wikipedia – Ross Bridge Tasmania,https://en.wikipedia.org/wiki/Ross_Bridge
RST-TAS-003-001,BRG-TAS-003,Mass Limit,10,t,Permanent,Active,All Vehicles,10.0,,,,,,false,true,false,false,1982-01-01,,Both,Department of State Growth,TAS Road Management Act Order 1982,"Red Bridge Campbell Town – 1838 convict-built brick arch. Heritage weight restriction 10t GVM.",Wikipedia – Red Bridge Tasmania,https://en.wikipedia.org/wiki/Red_Bridge_(Tasmania)
RST-TAS-004-001,BRG-TAS-004,Mass Limit,42.5,t,Permanent,Active,Heavy Vehicles,42.5,,,,,,true,false,false,2020-06-01,,Both,Department of State Growth,TAS Road Management Act Order 2020/12,"Tasman Bridge gross mass limit during structural review period. NHVR permit required for heavy combinations.",Wikipedia – Tasman Bridge,https://en.wikipedia.org/wiki/Tasman_Bridge
RST-TAS-004-002,BRG-TAS-004,Speed Restriction,60,km/h,Permanent,Active,All Vehicles,,,,,,60,false,false,false,2020-06-01,,Both,Department of State Growth,TAS Traffic Act Order 2020/12,"Tasman Bridge speed reduction for ongoing structural monitoring.",Wikipedia – Tasman Bridge,https://en.wikipedia.org/wiki/Tasman_Bridge
RST-SA-002-001,BRG-SA-002,Mass Limit,5,t,Permanent,Active,All Vehicles,5.0,,,,,,false,true,false,false,1995-01-01,,Both,Department for Infrastructure and Transport SA,SA Road Management Order 1995/08,"Algebuckina Bridge – historic Ghan railway bridge. 5t GVM maximum. Pedestrian access and light heritage tourist vehicles only.",Wikipedia – Algebuckina Bridge,https://en.wikipedia.org/wiki/Algebuckina_Bridge
RST-WA-003-001,BRG-WA-003,Mass Limit,20,t,Permanent,Active,Heavy Vehicles,20.0,,,,,,false,true,false,false,1990-01-01,,Both,Main Roads WA,WA Main Roads Order 1990/05,"Fremantle Traffic Bridge – heritage steel truss. 20t GVM limit. Traffic now diverted to Stirling Bridge. Tourist/light use.",Wikipedia – Fremantle Traffic Bridge,https://en.wikipedia.org/wiki/Fremantle_Traffic_Bridge
RST-NSW-005-001,BRG-NSW-005,Dimension Limit,49,m,Permanent,Active,All Vehicles,,,49.0,,,,false,false,false,false,1932-03-19,,Both,Transport for NSW,NSW Gazette 2025/100,"Sydney Harbour Bridge – 49m clearance above mean high water. Port Authority navigation clearance requirement.",NSW Open Data – TfNSW Asset Registry,https://opendata.transport.nsw.gov.au/dataset/nsw-state-roads-vertical-clearances
RST-NSW-006-001,BRG-NSW-006,Dimension Limit,40,m,Permanent,Active,All Vehicles,,,40.0,,,,false,false,false,false,1995-12-01,,Both,Transport for NSW,NSW Gazette 2024/88,"Anzac Bridge – 40m clearance above mean high water for Johnstons Bay navigation.",NSW Open Data – TfNSW Asset Registry,https://opendata.transport.nsw.gov.au/dataset/nsw-state-roads-vertical-clearances
